#####################################################################
# Alchemist log file - simulation started at: 2024-05-18T21:18+0000 #
#####################################################################
#
# Seed = 98.0, Thresholds = [40.0, 100.0], SwapPolicy = hybrid
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] TraveledDistance[mean] TraveledDistance[sum] TraveledDistance[min] TraveledDistance[max] CloudPower[mean] CloudPower[sum] SmartphonePower[mean] SmartphonePower[sum] WearablePower[mean] WearablePower[sum] CloudCost[sum] CloudInstance[sum] PercentageSensorInWearable BehaviorOffloadedInCloud 
14940.00117548849 1.0 100.0 683.4867543043276 52.86340099523806 0.0 0.0 0.0 0.0 27590.367515048958 2759036.751504896 8597.722592193128 859772.2592193129 862969.0 862969.0 13333.180097580345 1333318.0097580347 7704.91212395179 19325.714403365942 4775.1719122684535 4775.1719122684535 1.6413610038476754 164.1361003847675 0.11012079718033875 11.01207971803387 195.1726933333364 22.0 36.0 100.0
15000.00117548849 1.0 100.0 675.2491279363545 52.30083577914067 0.0 0.0 0.0 0.0 27688.197515048956 2768819.751504896 8619.892592193128 861989.2592193129 868969.0 868969.0 13393.908151605527 1339390.8151605527 7783.89947967934 19406.220807122445 4777.061778933438 4777.061778933438 1.6199575027779867 161.99575027779872 0.1149610297731999 11.49610297731999 196.48682666666983 22.0 38.0 100.0
15060.00117548849 1.0 100.0 667.0702882138191 51.72088208334917 0.0 0.0 0.0 0.0 27785.29751504896 2778529.751504896 8642.79259219313 864279.2592193129 874969.0 874969.0 13452.892099033576 1345289.2099033578 7860.843810188241 19487.869425295976 4780.216932382261 4780.216932382261 1.6101635422395932 161.01635422395933 0.11881120527342211 11.881120527342219 197.80096000000324 22.0 39.0 100.0
15120.00117548849 1.0 100.0 658.9040223028165 51.14231452333614 0.0 0.0 0.0 0.0 27882.517515048956 2788251.751504896 8665.572592193128 866557.2592193129 880969.0 880969.0 13511.012065842428 1351101.2065842422 7860.843810188241 19568.985109638197 4779.408335782684 4779.408335782684 1.5917887480088149 159.17887480088152 0.11388531401550626 11.388531401550628 199.11509333333666 22.0 37.0 100.0
15180.00117548849 1.0 100.0 650.6726124935799 50.57881381926304 0.0 0.0 0.0 0.0 27980.367515048958 2798036.751504896 8687.722592193128 868772.2592193129 886969.0 886969.0 13566.938265464127 1356693.8265464124 7860.843810188241 19652.25580053402 4785.802639390585 4785.802639390585 1.6564411343286733 165.64411343286736 0.10591316817319567 10.59131681731957 200.42922666667008 22.0 35.0 100.0
15240.00117548849 1.0 100.0 642.3318515174875 50.03105514537544 0.0 0.0 0.0 0.0 28079.06751504896 2807906.751504896 8709.022592193129 870902.2592193129 892969.0 892969.0 13624.14962606352 1362414.9626063518 7860.843810188241 19731.644603426586 4774.792618572491 4774.792618572491 1.6777597164219331 167.77597164219335 0.10387273190224226 10.387273190224224 201.7433600000035 22.0 34.0 100.0
15300.00117548849 1.0 100.0 633.8157825091337 49.518880518908205 0.0 0.0 0.0 0.0 28179.397515048957 2817939.751504896 8728.692592193129 872869.2592193129 898969.0 898969.0 13679.418760808894 1367941.8760808893 7860.843810188241 19815.145358617312 4773.966123410098 4773.966123410098 1.6909777872339578 169.0977787233958 0.103940639291243 10.3940639291243 203.0574933333369 22.0 34.0 100.0
15360.00117548849 1.0 100.0 625.3912327197355 48.98909964992714 0.0 0.0 0.0 0.0 28278.917515048957 2827891.751504896 8749.172592193128 874917.2592193129 904969.0 904969.0 13735.186122684901 1373518.61226849 7860.843810188241 19895.794876043612 4787.083042291991 4787.083042291991 1.6965953934305478 169.65953934305477 0.10376196819109758 10.376196819109753 204.37162666667032 22.0 33.0 100.0
15420.00117548849 1.0 100.0 617.0001558061401 48.45525043534233 0.0 0.0 0.0 0.0 28378.197515048956 2837819.751504896 8769.892592193128 876989.2592193129 910969.0 910969.0 13791.644092255036 1379164.4092255037 7860.843810188241 19977.919567498047 4783.099579610757 4783.099579610757 1.6735943807776037 167.3594380777604 0.10129373967976729 10.12937396797673 205.68576000000374 22.0 33.0 100.0
15480.00117548849 1.0 100.0 608.5982678048983 47.92206442063474 0.0 0.0 0.0 0.0 28477.507515048957 2847750.751504896 8790.582592193128 879058.2592193129 916969.0 916969.0 13850.492322240485 1385049.232224048 7860.843810188241 20060.42297148476 4779.0572713866 4779.0572713866 1.6726340358769902 167.2634035876991 0.10499056791045683 10.499056791045682 206.99989333333716 22.0 34.0 100.0
