#####################################################################
# Alchemist log file - simulation started at: 2024-05-15T20:54+0000 #
#####################################################################
#
# Seed = 100.0, DeviceCount = 100, Thresholds = [0.0, 0.0], BehaviorInstructions = 890500000, SwapPolicy = smartphone
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] TraveledDistance[mean] TraveledDistance[sum] TraveledDistance[min] TraveledDistance[max] CloudPower[mean] CloudPower[sum] SmartphonePower[mean] SmartphonePower[sum] WearablePower[mean] WearablePower[sum] CloudCost[sum] PercentageSensorInWearable BehaviorOffloadedInCloud 
2220.0012459309837 0.89 89.0 1834.596656528157 140.24146582644948 0.10999999999999999 11.0 0.0 0.0 6658.578345895832 665857.8345895836 0.0 0.0 0.0 0.0 1981.4002608077997 198140.02608078002 559.9940589801098 3159.434033631992 0.002211017518755009 0.002211017518755009 0.001498370120603664 0.14983701206036645 1.2201154665978729E-8 3.782357946453406E-7 2.2092183353890724 0.0 0.0
2280.0012459309837 0.89 89.0 1810.3504104608246 140.24122094782692 0.10999999999999999 11.0 0.0 0.0 6838.578345895832 683857.8345895836 0.0 0.0 0.0 0.0 2025.8885240517845 202588.85240517842 627.7527447462531 3246.746217143646 0.0012532954710317767 0.0012532954710317767 0.0014983400620045253 0.14983400620045248 1.4484734030683719E-8 4.490267549511951E-7 2.2689516687223974 0.0 0.0
2340.0012459309837 0.8899999999999999 89.0 1831.129552307956 140.24097107980984 0.10999999999999997 11.0 0.0 0.0 7018.578345895832 701857.8345895837 0.0 0.0 0.0 0.0 2070.5125793526836 207051.25793526837 627.7527447462531 3330.339839476845 4.908601146382363E-5 4.908601146382363E-5 0.0014983665880518038 0.14983665880518043 1.2388761947266208E-8 3.840516203652524E-7 2.3286850020557224 0.0 0.0
2400.0012459309837 0.9 90.0 1851.842312665085 140.24072157777888 0.09999999999999999 10.0 0.0 0.0 7198.578345895832 719857.8345895838 0.0 0.0 0.0 0.0 2116.9613434037765 211696.13434037758 627.7527447462531 3415.27907986925 7.917077435535353E-4 7.917077435535353E-4 0.0014983546782157027 0.14983546782157028 1.1879978479942272E-8 3.6827933287821046E-7 2.3884183353890474 0.0 0.0
2460.0012459309837 0.9 90.0 1872.1164859783983 140.24047588363814 0.1 10.0 0.0 0.0 7378.578345895832 737857.8345895837 0.0 0.0 0.0 0.0 2165.6843979840155 216568.43979840155 709.4312588572417 3501.574925659395 6.0215490105602775E-5 6.0215490105602775E-5 0.0014983457214311215 0.14983457214311213 1.553475023037613E-8 4.815772571416601E-7 2.4481516687223723 0.0 0.0
2520.0012459309837 0.92 92.0 1937.198143390984 140.24022515592756 0.08 8.0 0.0 0.0 7558.578345895832 755857.8345895837 0.0 0.0 0.0 0.0 2216.3778481277104 221637.784812771 716.8044416126756 3589.1613130340947 7.828946260618243E-4 7.828946260618243E-4 0.0014983364641647603 0.14983364641647606 1.1372109243902921E-8 3.5253538656099066E-7 2.5078850020556973 0.0 0.0
2580.0012459309837 0.9099999999999999 91.0 1912.3344582601349 140.2399690568851 0.09 9.0 0.0 0.0 7738.578345895832 773857.8345895838 0.0 0.0 0.0 0.0 2266.471709945491 226647.17099454915 716.8044416126756 3678.6721794659184 0.0017715060279973336 0.0017715060279973336 0.0014983509622201539 0.1498350962220153 1.481557473818761E-8 4.59282816883816E-7 2.5676183353890223 0.0 0.0
2640.0012459309837 0.8899999999999999 89.0 1932.9133564812917 140.23972521310853 0.11000000000000003 11.0 0.0 0.0 7918.578345895832 791857.8345895838 0.0 0.0 0.0 0.0 2315.1875929857006 231518.7592985701 716.8044416126756 3766.2010385256112 3.435315651075197E-4 3.435315651075197E-4 0.0014983741110099977 0.1498374111009997 1.0965998458711993E-8 3.3994595222007176E-7 2.6273516687223473 0.0 0.0
2700.0012459309837 0.9 90.0 1953.6079906055288 140.23947142931732 0.09999999999999995 10.0 0.0 0.0 8098.578345895832 809857.8345895838 0.0 0.0 0.0 0.0 2366.053793103102 236605.37931031015 716.8044416126756 3850.7050247335983 2.036499734431358E-4 2.036499734431358E-4 0.0014983218914437358 0.14983218914437363 1.2727098161004441E-8 3.945400429911378E-7 2.6870850020556722 0.0 0.0
2760.0012459309837 0.8800000000000001 88.0 1929.2577318947417 140.2392210862998 0.11999999999999993 12.0 0.0 0.0 8278.578345895832 827857.8345895838 0.0 0.0 0.0 0.0 2416.645295870385 241664.52958703853 716.8044416126756 3935.7981799322365 1.145117107035931E-4 1.145117107035931E-4 0.0014983755402063967 0.14983755402063967 1.458420429724878E-8 4.521103332147121E-7 2.7468183353889972 0.0 0.0
